LSM_01	SRM_115	SBL_100	VISMINFL	VISMIN_C	ED_05	REP_20	VBR_10	CXRFLAG	CHH001_C	MARSTAT	WGHT_PER	SCF_101	SCF100_C
8	3	2	1	5	6	2	1	1	2	1	10	6	3
7	2	1	1	5	5	2	1	1	3	1	10	6	4
6	3	2	2	10	4	2	2	2	0	1	2113.0413	6	0
10	2	2	2	10	2	2	1	2	0	1	404.4537	6	10
7	1	1	1	1	4	2	2	1	2	1	10	1	1
99	9	9	1	8	1	9	1	2	0	1	10	6	2
8	1	2	2	10	6	2	1	1	2	2	338.0275	6	3
5	4	1	2	10	99	2	1	2	0	2	3963.0171	2	1
7	3	2	2	10	1	2	2	2	0	4	1566.607	6	7
10	3	1	2	10	4	2	2	2	0	6	10	6	0
10	1	1	1	2	4	2	1	2	0	6	10	1	1
8	2	3	2	10	2	2	1	2	0	1	573.5282	6	0
7	2	2	1	5	7	9	1	1	2	1	10	6	2
8	2	4	2	10	4	2	1	2	0	6	1349.1436	6	10
99	9	9	1	5	7	2	2	2	0	6	10	1	1
7	1	2	1	1	4	2	1	2	0	5	11.3036	6	2
7	4	2	2	10	6	2	1	2	0	2	746.4178	6	2
10	2	1	2	10	5	2	1	1	1	1	12.3003	6	8
8	1	2	1	8	2	2	1	2	0	1	10	6	5
7	2	2	1	7	2	1	1	2	0	6	10	6	10
3	5	4	2	10	6	2	2	2	0	2	10	2	1
7	2	2	1	5	7	2	2	1	2	1	24.2411	6	2
99	9	9	9	99	99	2	1	1	2	1	207.8811	6	3
10	1	2	1	8	4	2	2	2	0	6	10	6	0
7	3	2	2	10	3	2	1	2	0	6	155.3759	6	6
9	2	2	2	10	5	2	1	2	0	1	917.4534	6	10
7	3	2	2	10	3	2	1	2	0	3	1061.5811	6	3
2	4	2	1	2	2	2	1	2	0	6	10	6	0
5	4	2	2	10	99	2	1	1	3	6	104.1866	6	2
7	2	1	1	1	7	2	1	2	0	6	11096.2837	6	4
99	9	9	9	99	7	2	1	2	0	1	352.1265	6	4
7	2	3	2	10	3	2	1	1	0	1	1438.5344	6	0
7	4	3	1	2	6	2	1	2	0	6	1717.7784	6	2
10	1	2	2	10	7	2	1	2	0	1	1805.7657	6	10
99	9	9	1	6	7	2	1	1	2	1	10	6	10
4	3	2	2	10	1	2	2	2	1	6	253.9493	6	0
10	1	2	2	10	99	2	1	2	0	1	1828.3869	6	5
10	3	4	2	10	1	2	2	2	0	6	13.977	6	0
10	3	1	1	8	4	2	1	1	2	1	10	6	0
10	1	1	2	10	4	2	1	2	0	1	10	6	5
99	9	9	9	99	2	2	2	2	0	6	10	2	1
8	2	2	2	10	6	2	1	2	0	2	6435.6033	6	0
8	1	2	1	7	7	2	1	2	0	6	10	6	10
8	3	1	2	10	7	2	1	2	0	6	419.331	6	10
8	2	2	2	10	2	2	1	1	0	2	2109.3236	6	2
8	1	1	1	1	6	2	2	2	0	1	2998.5582	6	4
7	2	2	2	10	3	2	1	2	0	1	10	1	1
9	1	2	1	3	2	2	1	2	0	6	12.7182	6	3
