PRSPGNDR	PPROV	PVISMIN	PHHSIZE	PHHTTINC	PLIS_05	PGEOGR	PEMPL	PDWS_10I	PEHA_05A	PEHA_05B	PDWLTYPE	PDWS_05	PDWS_10C	PDV_SHCO	PCOS_05	PDCT_05
2	"13"	9	1	20000	9	"06"	2	4	2	2	"06"	3	2	700	9	2
2	"12"	9	2	62500	6	"04"	2	2	2	2	"01"	3	4	1400	6	1
1	"48"	2	2	67500	6	"24"	1	4	1	1	"01"	2	1	2000	5	1
2	"35"	1	2	135000	7	"12"	1	2	2	2	"03"	2	2	1600	7	2
2	"48"	9	2	99999999999	7	"24"	1	2	1	9	"06"	2	3	9999999.99	5	2
2	"35"	2	1	11000	4	"13"	2	3	1	2	"05"	2	2	100	5	2
2	"24"	2	1	35000	8	"10"	2	1	2	2	"06"	3	1	600	9	2
2	"48"	2	2	99999999999	1	"24"	9	2	1	2	"06"	1	4	9999999.99	1	2
1	"24"	2	1	7000	2	"07"	9	4	2	2	"06"	1	2	9999999.99	2	2
1	"48"	2	2	150000	5	"23"	1	4	2	2	"02"	2	1	500	7	1
2	"35"	2	1	22000	8	"15"	2	1	2	2	"05"	3	1	9999999.99	7	2
2	"24"	9	2	99999999999	9	"10"	9	2	2	2	"01"	3	1	9999999.99	9	1
2	"59"	9	99	99999999999	9	"26"	9	3	2	1	"06"	3	4	9999999.99	7	2
1	"47"	9	1	230000	6	"21"	1	1	2	1	"99"	2	2	1500	8	1
1	"47"	9	2	140000	7	"21"	2	2	2	2	"01"	3	2	800	7	1
2	"59"	2	1	38000	8	"26"	2	2	2	2	"06"	2	2	1000	4	2
2	"24"	2	2	47000	4	"10"	2	1	2	2	"01"	3	2	700	7	1
1	"13"	9	3	87500	7	"06"	1	4	2	1	"01"	2	2	1400	7	1
2	"48"	2	1	42000	8	"24"	1	2	2	2	"02"	3	2	700	8	2
2	"46"	9	2	99999999999	4	"17"	1	3	2	2	"02"	3	1	9999999.99	4	2
2	"48"	2	2	92500	6	"24"	2	1	2	2	"06"	2	2	900	8	1
2	"59"	1	99	230000	2	"25"	1	1	2	2	"01"	3	1	4000	4	1
1	"59"	2	2	240000	9	"27"	1	1	2	2	"04"	3	1	2600	9	1
2	"24"	9	99	99999999999	5	"07"	9	2	2	2	"99"	3	1	9999999.99	9	2
1	"59"	2	99	77500	4	"27"	9	2	1	2	"99"	3	3	900	4	2
2	"47"	9	3	99999999999	6	"21"	9	3	1	1	"99"	2	3	9999999.99	6	1
2	"46"	9	1	45000	7	"18"	1	2	2	1	"06"	2	2	500	2	2
1	"48"	9	99	99999999999	4	"24"	9	4	1	2	"06"	1	4	9999999.99	6	2
1	"48"	1	2	52500	5	"23"	1	2	1	2	"06"	3	3	1600	7	2
2	"13"	9	2	48000	7	"06"	1	4	1	9	"99"	1	4	9999999.99	4	9
1	"59"	2	2	155000	8	"25"	2	2	2	2	"06"	3	2	900	5	1
2	"24"	2	2	67500	7	"10"	9	3	2	2	"06"	3	1	9999999.99	7	2
1	"24"	2	4	105000	9	"08"	1	4	2	2	"06"	2	2	800	6	2
1	"59"	2	2	150000	7	"26"	2	2	2	2	"01"	3	2	500	6	1
1	"35"	2	2	90000	3	"16"	2	2	2	2	"01"	1	2	400	4	1
1	"13"	9	1	72500	5	"06"	1	3	2	2	"01"	2	2	1300	5	1
2	"95"	9	99	99999999999	7	"28"	1	4	2	2	"99"	2	2	9999999.99	7	1
1	"46"	9	2	155000	7	"17"	1	2	2	2	"01"	3	1	900	7	1
2	"10"	9	99	23000	9	"01"	9	1	2	2	"03"	3	1	9999999.99	9	2
1	"47"	9	99	99999999999	6	"20"	2	2	2	2	"99"	3	2	9999999.99	7	2
2	"47"	9	1	99999999999	6	"20"	9	1	2	2	"99"	3	1	9999999.99	8	1
1	"12"	9	1	75000	8	"04"	1	2	2	2	"01"	3	1	2400	8	1
1	"10"	9	99	125000	6	"01"	1	2	2	2	"99"	1	4	1100	3	2
1	"12"	9	2	120000	5	"04"	1	2	2	2	"01"	3	2	1000	5	1
2	"24"	2	99	99999999999	6	"09"	9	3	2	2	"99"	2	1	9999999.99	6	2
2	"35"	2	1	10500	8	"16"	2	2	2	2	"06"	3	2	100	8	2
1	"48"	9	2	165000	6	"24"	1	2	2	2	"01"	1	3	9999999.99	7	9
1	"13"	9	1	57500	7	"05"	1	2	2	2	"01"	3	1	1200	6	1
2	"46"	9	1	17500	7	"18"	2	2	2	2	"06"	3	2	600	7	2
1	"59"	1	4	125000	8	"25"	1	1	2	2	"01"	3	2	1900	8	1
2	"10"	9	3	62500	7	"01"	1	2	1	2	"04"	3	2	900	3	2
1	"59"	2	2	130000	4	"25"	1	2	1	2	"06"	2	4	1500	4	2
2	"35"	2	4	250000	4	"12"	1	2	1	1	"01"	2	4	3300	6	1
1	"59"	1	2	43000	7	"25"	2	1	2	2	"06"	3	1	9999999.99	8	2
2	"35"	1	2	99999999999	9	"11"	2	2	1	2	"99"	3	2	9999999.99	3	2
2	"48"	2	3	125000	9	"24"	1	3	2	2	"01"	3	1	300	7	1
1	"35"	2	2	80000	7	"16"	2	2	2	2	"01"	3	2	400	7	1
2	"47"	9	1	22000	7	"19"	2	2	2	2	"06"	1	1	400	9	2
2	"11"	9	99	42000	8	"02"	9	2	2	2	"99"	3	3	9999999.99	8	2
2	"11"	9	2	70000	7	"02"	1	2	2	2	"06"	3	3	1300	7	2
2	"12"	9	1	20000	7	"04"	2	1	1	2	"06"	3	1	600	9	2
1	"59"	2	3	120000	7	"27"	1	2	1	2	"99"	3	3	400	7	1
2	"10"	9	1	99999999999	9	"01"	2	1	2	2	"03"	3	1	9999999.99	9	2
2	"46"	9	4	99999999999	8	"18"	1	2	2	2	"01"	3	2	9999999.99	6	9
1	"35"	2	3	92500	4	"12"	2	2	1	2	"01"	2	2	1500	1	1
1	"59"	1	4	210000	7	"25"	1	1	2	2	"05"	3	1	2600	6	1
2	"10"	9	2	57500	4	"01"	2	4	2	1	"01"	2	2	800	5	1
1	"47"	9	1	30000	8	"21"	2	2	2	2	"99"	3	2	9999999.99	9	2
2	"12"	9	99	99999999999	7	"04"	1	2	1	2	"99"	3	2	9999999.99	7	1
2	"35"	2	1	24000	1	"16"	2	2	2	2	"06"	2	2	500	4	2
2	"13"	9	4	87500	7	"06"	1	2	2	2	"01"	3	2	400	7	1
2	"48"	2	3	130000	5	"22"	1	2	2	1	"01"	3	2	2300	4	1
1	"10"	9	2	35000	7	"01"	2	1	2	2	"06"	2	2	700	7	2
2	"46"	9	2	125000	9	"18"	1	2	2	2	"06"	3	3	1300	4	2
1	"10"	9	2	110000	7	"01"	2	2	2	2	"03"	3	2	600	6	1
2	"13"	9	2	99999999999	7	"06"	9	9	2	2	"01"	3	9	9999999.99	7	1
2	"95"	9	1	23000	2	"28"	2	3	2	2	"99"	1	3	9999999.99	2	2
2	"47"	9	99	99999999999	9	"19"	9	1	2	2	"99"	3	1	9999999.99	9	2
2	"48"	2	1	22000	1	"24"	2	2	2	1	"06"	1	3	1100	1	2
1	"48"	2	1	62500	5	"22"	9	2	2	2	"06"	3	3	1000	4	2
2	"35"	2	4	135000	2	"12"	1	3	1	1	"01"	3	4	1100	2	1
1	"35"	9	99	115000	9	"13"	1	2	2	2	"01"	3	2	9999999.99	9	9
1	"48"	1	4	200000	9	"24"	1	1	2	2	"01"	3	2	2100	8	1
1	"24"	2	2	105000	9	"10"	2	1	2	2	"04"	3	1	500	9	1
1	"48"	2	5	150000	9	"24"	1	1	2	2	"01"	3	1	1000	7	1
1	"13"	9	99	99999999999	5	"05"	9	1	2	2	"06"	2	2	9999999.99	5	2
2	"35"	2	2	85000	2	"16"	1	2	2	1	"01"	2	2	1600	4	1
1	"24"	9	2	99999999999	5	"09"	1	1	2	2	"99"	3	2	9999999.99	7	2
1	"48"	2	1	99999999999	2	"22"	2	2	1	1	"06"	1	3	9999999.99	3	2
2	"48"	1	3	50000	2	"22"	1	2	1	2	"06"	1	4	800	4	2
2	"10"	9	1	21000	6	"01"	2	2	2	2	"06"	2	1	400	6	2
1	"48"	2	1	60000	1	"23"	2	4	1	1	"06"	3	4	1600	4	2
2	"24"	2	1	28000	1	"10"	2	2	1	1	"99"	2	1	600	1	2
2	"13"	9	2	65000	9	"06"	2	2	2	2	"01"	3	3	500	9	1
1	"13"	9	99	99999999999	7	"06"	9	3	1	1	"99"	2	4	9999999.99	1	2
2	"12"	9	1	41000	9	"04"	2	1	2	2	"01"	3	1	1300	9	1
2	"35"	1	99	99999999999	7	"13"	1	2	1	1	"01"	3	2	9999999.99	7	1
2	"12"	9	2	45000	9	"04"	2	2	2	2	"06"	3	2	500	9	2
1	"47"	9	99	23000	6	"20"	2	2	2	2	"99"	2	4	9999999.99	7	2
2	"35"	2	1	48000	6	"11"	2	2	2	2	"05"	2	1	1100	6	2
1	"24"	1	2	160000	7	"08"	1	1	2	2	"06"	3	2	2500	5	1
2	"35"	2	2	82500	9	"16"	1	1	2	1	"01"	3	1	1400	9	1
1	"13"	9	4	115000	9	"06"	1	2	2	2	"06"	1	1	1700	4	1
2	"10"	9	99	95000	7	"01"	1	1	2	2	"03"	2	1	300	5	1
1	"59"	2	1	99999999999	5	"27"	1	2	2	2	"06"	1	2	9999999.99	3	1
1	"24"	2	99	99999999999	9	"10"	1	2	2	2	"01"	3	2	9999999.99	4	1
2	"12"	9	1	44000	9	"04"	2	1	2	2	"01"	3	1	500	9	1
1	"48"	2	2	99999999999	6	"24"	9	2	2	2	"99"	2	1	9999999.99	1	2
2	"48"	9	2	80000	9	"22"	9	1	2	2	"01"	3	1	2200	9	1
2	"59"	9	99	99999999999	6	"27"	9	2	2	1	"99"	2	1	9999999.99	3	2
2	"12"	9	2	70000	8	"04"	9	1	2	2	"99"	3	1	700	4	2
1	"46"	9	1	99999999999	9	"18"	2	1	2	2	"99"	3	2	9999999.99	9	1
1	"13"	9	99	99999999999	7	"06"	9	2	9	9	"01"	2	2	9999999.99	7	1
2	"48"	1	99	145000	4	"22"	9	2	2	2	"03"	1	4	2100	4	1
2	"35"	2	1	24000	1	"13"	2	4	2	1	"05"	1	4	500	99	2
2	"10"	9	2	60000	9	"01"	1	1	2	2	"01"	3	1	400	9	1
2	"59"	2	1	30000	9	"26"	2	1	2	2	"06"	3	1	0	8	2
2	"11"	9	1	21000	9	"02"	2	2	2	2	"06"	3	2	9999999.99	9	2
2	"35"	2	1	60000	7	"16"	1	3	2	2	"99"	3	2	1400	6	1
1	"24"	2	2	62500	6	"08"	2	4	1	1	"04"	3	2	1500	4	2
2	"35"	2	1	16000	4	"16"	2	1	2	2	"06"	3	1	800	9	2
1	"13"	9	99	99999999999	9	"05"	9	1	1	2	"99"	3	2	9999999.99	9	2
2	"95"	9	4	260000	8	"28"	1	2	2	2	"99"	1	1	2400	7	1
1	"48"	2	1	49000	7	"24"	1	4	2	2	"04"	1	3	1700	3	1
1	"59"	9	2	99999999999	7	"26"	9	3	2	2	"06"	1	3	9999999.99	7	2
1	"59"	2	1	18000	5	"27"	2	1	2	2	"06"	2	2	400	5	2
2	"46"	9	99	55000	9	"18"	9	2	2	2	"01"	3	2	1200	9	1
1	"35"	2	99	24000	6	"13"	2	3	9	9	"06"	1	4	800	7	2
2	"24"	2	1	22000	9	"09"	2	1	2	2	"05"	1	4	400	3	2
2	"10"	9	2	65000	9	"01"	2	2	2	2	"01"	3	2	300	9	1
2	"13"	9	3	180000	9	"05"	1	2	2	2	"01"	3	2	1500	4	1
1	"95"	9	2	290000	9	"28"	1	1	2	2	"99"	3	1	1000	8	1
1	"13"	9	99	99999999999	7	"05"	9	2	2	2	"02"	1	2	9999999.99	7	1
1	"24"	2	2	29000	9	"10"	2	1	2	2	"01"	3	1	300	6	1
2	"35"	2	2	82500	7	"16"	1	4	2	2	"01"	2	2	1100	4	1
1	"24"	2	1	99999999999	7	"10"	1	3	2	2	"99"	3	3	9999999.99	7	2
2	"46"	9	1	99999999999	7	"17"	2	2	2	2	"05"	3	2	9999999.99	5	2
1	"46"	9	2	97500	4	"17"	1	2	2	2	"01"	2	2	1100	4	1
1	"48"	2	2	52500	9	"24"	2	1	2	2	"01"	3	1	600	9	1
1	"48"	2	1	26000	5	"24"	2	2	1	1	"05"	3	3	700	3	2
1	"10"	9	2	40000	9	"01"	9	2	2	2	"01"	3	2	600	9	1
2	"47"	9	99	165000	8	"20"	1	2	2	2	"01"	3	3	2800	6	1
1	"13"	9	99	110000	9	"05"	1	3	2	2	"01"	3	3	1800	5	1
1	"24"	2	2	105000	7	"08"	1	2	2	2	"01"	2	2	1400	7	1
2	"12"	9	99	99999999999	5	"03"	1	2	2	2	"03"	3	2	9999999.99	3	1
2	"46"	9	1	43000	4	"17"	1	2	2	2	"06"	3	2	1200	5	2
1	"13"	9	3	95000	6	"06"	1	2	2	1	"01"	3	1	700	6	1
2	"47"	9	2	90000	9	"21"	2	3	2	2	"01"	3	1	500	9	1
1	"13"	9	3	130000	8	"06"	1	2	2	2	"01"	3	1	1900	8	1
2	"48"	2	2	99999999999	5	"22"	9	4	2	1	"01"	3	2	9999999.99	4	1
1	"35"	2	1	14000	5	"15"	2	2	2	1	"06"	1	2	200	4	2
1	"10"	9	1	27000	9	"01"	2	2	1	9	"04"	3	3	400	9	1
1	"48"	2	2	195000	9	"24"	1	1	2	2	"01"	3	1	900	4	1
1	"59"	2	1	41000	8	"27"	2	1	2	2	"03"	1	1	800	8	2
2	"47"	9	3	180000	8	"20"	1	2	2	2	"01"	3	2	1700	6	1
1	"13"	9	2	36000	7	"05"	9	1	2	2	"01"	3	1	700	8	1
1	"35"	9	5	110000	9	"14"	1	1	1	2	"03"	3	2	1200	9	1
1	"46"	9	2	29000	4	"17"	9	1	2	2	"06"	3	1	400	5	2
1	"59"	1	4	46000	5	"25"	1	1	1	2	"04"	3	1	1400	5	2
2	"35"	2	2	145000	8	"14"	9	1	2	2	"01"	3	2	3300	5	1
1	"95"	9	2	250000	7	"28"	1	2	2	2	"99"	2	4	1400	7	1
1	"95"	9	99	99999999999	6	"28"	9	1	2	2	"99"	3	4	9999999.99	7	9
2	"48"	2	1	43000	7	"24"	2	2	2	2	"04"	3	2	600	9	1
2	"24"	2	5	99999999999	7	"07"	1	2	2	2	"01"	3	3	9999999.99	5	9
2	"13"	9	5	82500	9	"06"	1	2	1	1	"99"	1	4	700	4	2
2	"95"	9	99	99999999999	5	"28"	1	4	2	2	"99"	1	4	9999999.99	1	9
2	"35"	2	2	87500	6	"11"	2	2	2	2	"03"	3	1	1700	7	1
2	"46"	9	4	99999999999	7	"18"	1	2	2	2	"01"	3	2	9999999.99	4	1
1	"59"	2	1	20000	3	"27"	2	3	2	9	"02"	1	3	700	4	2
1	"35"	2	1	57500	8	"11"	1	2	2	2	"05"	3	2	1000	4	2
2	"24"	1	3	90000	7	"08"	1	3	2	2	"01"	2	2	1600	7	1
2	"48"	9	3	105000	4	"24"	1	4	2	1	"01"	2	2	1900	6	1
2	"47"	9	2	125000	9	"21"	2	1	2	2	"01"	3	1	400	9	1
2	"13"	9	1	22000	9	"06"	2	2	2	2	"99"	2	3	9999999.99	9	2
2	"35"	2	1	26000	8	"16"	2	2	2	2	"06"	3	2	500	9	2
2	"47"	9	2	92500	7	"21"	1	2	2	2	"01"	3	2	2000	7	1
1	"95"	9	99	99999999999	7	"28"	9	2	2	2	"99"	2	3	9999999.99	7	2
2	"24"	9	2	57500	7	"09"	1	1	2	2	"06"	2	1	600	5	2
1	"59"	2	4	140000	5	"27"	1	4	1	2	"01"	1	4	600	4	1
1	"24"	2	1	22000	7	"09"	2	1	2	2	"05"	3	2	400	7	2
1	"47"	9	2	62500	7	"21"	2	2	2	2	"01"	3	3	900	5	1
2	"13"	9	1	99999999999	9	"05"	9	1	2	2	"99"	3	1	9999999.99	6	2
2	"24"	9	2	65000	4	"10"	2	3	1	1	"01"	1	4	1100	7	1
2	"59"	1	2	145000	8	"27"	1	2	2	2	"01"	3	2	1800	9	2
1	"13"	9	2	125000	9	"05"	1	1	2	2	"01"	3	1	600	4	1
1	"24"	2	2	50000	4	"10"	1	4	1	1	"06"	1	4	800	1	2
1	"13"	9	1	22000	7	"06"	2	2	2	2	"01"	3	2	300	9	1
1	"35"	2	4	260000	8	"14"	1	1	2	2	"01"	3	1	1000	9	1
2	"59"	2	1	55000	6	"27"	1	1	2	2	"03"	3	3	800	6	2
2	"10"	9	2	55000	7	"01"	2	1	2	2	"04"	3	2	1800	8	2
